Abbreviation,DE,FR,IT,EN,Ref_TransportMode,route_type
IR,InterRegio,InterRegio,InterRegio,InterRegio,Z,103
IRE,Interregio-Express,InterregioExpress,Interregio-Express,Interregio-Express,Z,103
IT,Italo,Italo,Italo,Italo,Z,102
JAT,Gefängniszug,Train-prison,Treno della prigione,Jail / Prison Train,Z,111
MAT,LeermaterialZug (Reisezugswagen),Train de matériel vide (voiture de voyageurs),Treno vuoto (carrozze passeggeri),Empty material train (passenger carriage),Z,111
MP,LeermaterialZug Personenbeförd,Train de matériel vide Transport de personnes,Treno materiale vuoto Trasporto passeggeri,Empty material train with passenger transport,Z,111
NJ,NightJet,NightJet,Nightjet,NightJet,Z,105
NZ,Nacht-Zug,Train de nuit,Treno notturno,Night Train,Z,105
P,Zug ohne Gewähr,Train non garanti,Treno senza garanzia,Train without Guarantee,Z,100
PE,PanoramaExpress,PanoramaExpress,PanoramaExpress,PanoramaExpress,Z,107
R,Regio,Train régional,Regio,Regio,Z,106
RB,Regionalbahn,Réseau régional,Ferrovia regionale,Regional train,Z,106
RE,RegioExpress,RegioExpress,RegioExpress,RegioExpress,Z,106
RJ,Railjet,Railjet,Railjet,Railjet,Z,102
RJX,railjet xpress,Railjet Xpress,Railjet Xpress,Railjet Xpress,Z,102
S,S-Bahn,RER,Rete celere regionale,Urban Train,Z,109
SN,Nacht-S-Bahn,RER de nuit,S-Bahn (rete celere regionale) notturna,Night-urban Train,Z,109
STB,Stadtbahn,Chemin de fer urbain,Ferrovia urbana,City Railway,Z,109
TAL,Talgo,Talgo,Talgo,Talgo,Z,101
TER,Train Express Regional,Train Express régional,Treno espresso regionale,Train Express Regional,Z,106
TE2,TER200,TER 200,TER200,TER200,Z,106
TGV,Train à grande vitesse,Train à grande vitesse,Train à grande vitesse,Train à grande vitesse,Z,101
THA,Thalys,Thalys,Thalys,Thalys,Z,101
TLK,Twoje Linie Kolejowe,Deuxième Ligne Kolejowe,Linea Twoje Kolejowe,Twoje Line Kolejowe,Z,102
UEX,UrlaubsExpress,UrlaubsExpress,HolidayExpress,UrlaubsExpress (Holiday),Z,104
VAE,Voralpen-Express,Voralpen-Express,Voralpen-Express,Voralpen-Express,Z,103
WB,Westbahn,Westbahn,Westbahn,Westbahn,Z,100
X,InterConnex,InterConnex,InterConnex,InterConnex,Z,100
X2,X2000 Neigezug,X2000 Train pendulaire,Treno inclinabile X2000,X2000 Tilting Train,Z,100
ZUG,Zugskategorie unbekannt,Catégorie de train inconnue,Categoria del treno sconosciuta,Train Category Unknown,Z,100
